Movie,IMDB
Parasite,tt6751668
Green Book,tt6966692
The Shape of Water,tt5580390
Moonlight,tt4975722
Spotlight,tt1895587
Birdman,tt2562232
12 Years a Slave,tt2024544
Argo,tt1024648
The Artist,tt1655442
The King's Speech,tt1504320
Everything Everywhere All at Once,tt6710474
No Country for Old Men,tt0477348
The Departed,tt0407887
Braveheart,tt0112573
Rocky,tt0075148
